iter	Passed	Remaining
434	1439	1870
435	1442	1866
436	1445	1862
437	1448	1858
438	1451	1854
439	1453	1850
440	1456	1846
441	1459	1842
442	1461	1838
443	1464	1834
444	1467	1830
445	1470	1825
446	1472	1821
447	1475	1817
448	1478	1813
449	1480	1809
450	1483	1805
451	1486	1801
452	1488	1797
453	1491	1793
454	1494	1789
455	1496	1785
456	1499	1781
457	1502	1777
458	1504	1773
459	1507	1769
460	1510	1765
461	1513	1762
462	1516	1758
463	1518	1754
464	1521	1750
465	1524	1746
466	1527	1742
467	1529	1738
468	1532	1735
469	1535	1731
470	1537	1727
471	1540	1723
472	1543	1719
473	1545	1715
474	1548	1711
475	1551	1707
476	1553	1703
477	1556	1699
478	1559	1695
479	1561	1691
480	1564	1687
481	1567	1684
482	1569	1680
483	1572	1676
484	1575	1672
485	1577	1668
486	1580	1665
487	1583	1661
488	1585	1657
489	1588	1653
490	1591	1649
491	1594	1646
492	1596	1642
493	1599	1638
494	1602	1634
495	1605	1630
496	1607	1627
497	1610	1623
498	1613	1619
499	1616	1616
500	1619	1612
501	1621	1608
502	1624	1605
503	1627	1601
504	1630	1597
505	1632	1594
506	1635	1590
507	1638	1586
508	1641	1583
509	1643	1579
510	1646	1575
511	1649	1572
512	1651	1568
513	1654	1564
514	1657	1560
515	1660	1557
516	1662	1553
517	1665	1549
518	1668	1545
519	1670	1542
520	1673	1538
521	1676	1534
522	1678	1531
523	1681	1527
524	1684	1523
525	1686	1520
526	1689	1516
527	1692	1512
528	1695	1509
529	1697	1505
530	1700	1501
531	1702	1498
532	1705	1494
533	1708	1490
534	1711	1487
535	1713	1483
536	1716	1479
537	1718	1476
538	1721	1472
539	1724	1468
540	1727	1465
541	1729	1461
542	1732	1458
543	1735	1454
544	1737	1450
545	1740	1447
546	1743	1443
547	1745	1440
548	1748	1436
549	1751	1432
550	1753	1429
551	1756	1425
552	1759	1422
553	1762	1418
554	1764	1415
555	1767	1411
556	1770	1408
557	1773	1404
558	1775	1401
559	1778	1397
560	1781	1393
561	1784	1390
