iter	Logloss
155	0.3949619747
156	0.3946703833
157	0.3944777515
158	0.3942931164
159	0.3941143291
160	0.3939608531
161	0.3937895693
162	0.3935787153
163	0.3933218304
164	0.3932465339
165	0.3930659772
166	0.3929052551
167	0.3927053494
168	0.3925625274
169	0.3923484518
170	0.3922758221
171	0.3920815047
172	0.3919419641
173	0.3918441838
174	0.3916389094
175	0.3915542111
176	0.3913516782
177	0.3912906729
178	0.3911311847
179	0.3909719171
180	0.3908016354
181	0.3906671643
182	0.3905196997
183	0.3904490058
184	0.3902673722
185	0.3901121411
186	0.3899947961
187	0.3899005896
188	0.3896562347
189	0.3895075985
190	0.3893887722
191	0.3891933212
192	0.3890591037
193	0.3888757686
194	0.3886212593
195	0.3885257735
196	0.3884569336
197	0.3883522626
198	0.3882279373
199	0.388142742
200	0.3880146768
201	0.3879370156
202	0.3877134389
203	0.3876692409
204	0.3874822635
205	0.3873250843
206	0.3870634567
207	0.38686057
208	0.3867354634
209	0.3865718675
210	0.3863681089
211	0.3861971434
212	0.3860518437
213	0.3858175043
214	0.3856972236
215	0.3855908222
216	0.3854589744
217	0.3852749762
218	0.3850481554
219	0.3849484484
220	0.3847859191
221	0.3846825813
222	0.3846733116
223	0.3843972238
224	0.3841090818
225	0.3840041731
226	0.3838912585
227	0.3836982059
228	0.3835591422
229	0.3833710721
230	0.3832777149
231	0.383148039
232	0.3830270495
233	0.382873357
234	0.3827193291
235	0.3824985313
236	0.3823524672
237	0.3822052767
238	0.382090873
239	0.3819478261
240	0.3817296835
241	0.3815933837
242	0.3813574959
243	0.3812426938
244	0.3810991056
245	0.3810117059
246	0.3808459379
247	0.380716628
248	0.3806552095
249	0.3805334966
250	0.3804281891
251	0.3802749748
252	0.3801668184
253	0.3800862242
254	0.3800576572
255	0.379888267
256	0.3797735645
257	0.3796227927
258	0.3795679156
259	0.3794657506
260	0.3792497687
261	0.3790924264
262	0.3789874789
263	0.3789573984
264	0.3788426657
265	0.3786999408
266	0.3786414942
267	0.3784516385
268	0.3782586434
269	0.3780934299
270	0.3779032086
271	0.3776926586
272	0.3776554195
273	0.3774355063
274	0.3773387987
275	0.3771476528
276	0.3770139826
277	0.3768352484
278	0.3767221387
279	0.3766260775
280	0.376494107
281	0.3763504054
282	0.3762054454
283	0.3760629978
284	0.3758730738
285	0.3757482239
286	0.3756801327
287	0.3755163341
288	0.3753882042
289	0.3752839973
290	0.3751183503
291	0.3749815851
292	0.3748627539
293	0.3747019007
294	0.3745419926
295	0.3744296381
296	0.3742955768
297	0.3742073161
298	0.3740496485
299	0.3738965515
300	0.3737579223
301	0.3737376142
302	0.3734973172
303	0.3733431186
304	0.3732510608
305	0.3731436321
306	0.3730280793
307	0.3728576744
308	0.3728144779
309	0.372657271
310	0.3725801464
311	0.3724400933
312	0.3722015581
313	0.3721089033
314	0.3719388825
315	0.3718440196
316	0.3717503255
317	0.3715353214
318	0.3712702125
319	0.371162578
320	0.37104914
321	0.3709387575
322	0.3708646299
323	0.3706435954
324	0.3705692546
325	0.3704709494
326	0.3703010011
327	0.3701933242
328	0.3700607986
329	0.3699478219
330	0.3697923958
331	0.369656213
332	0.3695547901
333	0.3694606623
334	0.3693115752
335	0.3691139229
336	0.3690789276
337	0.3689549433
338	0.3688092649
339	0.3687189637
340	0.3686628337
341	0.3685598019
342	0.3683786193
343	0.3682397123
344	0.3681232397
345	0.3679888219
346	0.3678928739
347	0.3678112491
348	0.3677747432
349	0.3676039236
350	0.3674246685
351	0.3671832312
352	0.3669578361
353	0.3667978292
354	0.3666285735
355	0.3665353301
356	0.3663618222
357	0.3661809315
358	0.3660091095
359	0.365936457
360	0.3659313571
361	0.3657980665
362	0.3656547739
363	0.36554731
364	0.3653580737
365	0.3650877637
366	0.364913289
367	0.3648406027
368	0.3647161184
369	0.3646061725
370	0.3644386821
371	0.364228388
372	0.3641041816
373	0.364021361
374	0.3638541949
375	0.3637134257
376	0.3635847133
377	0.3634910996
378	0.3634284722
379	0.3632697834
380	0.3630962566
381	0.3630090987
382	0.3628329236
383	0.3625944988
384	0.3624912304
385	0.3623377029
386	0.3622075564
387	0.3621140153
388	0.3620642674
389	0.3619832617
390	0.361897672
391	0.361714253
392	0.3616055529
393	0.3615475529
394	0.3613986807
395	0.3612563325
396	0.3611942171
397	0.3610324681
398	0.3609369601
399	0.3608217959
400	0.3607218936
401	0.3606353089
402	0.3605025558
403	0.3603510222
404	0.3601163469
405	0.3599443775
406	0.359864063
407	0.3596913727
408	0.3595939911
409	0.3595220725
410	0.3593271629
411	0.3591745121
412	0.35907356
413	0.3589695857
414	0.3588294483
415	0.3587552723
416	0.3586093791
417	0.3585297682
418	0.3583648918
419	0.3582626149
420	0.3581313549
421	0.3579509957
422	0.3577557663
423	0.3576706222
424	0.3575162887
425	0.35737762
426	0.3571824548
427	0.3570362154
428	0.3568600819
429	0.3567822777
430	0.356666611
431	0.3566047678
432	0.3564077384
433	0.3563999342
434	0.3562634668
435	0.3561080584
436	0.3560231994
437	0.3559883026
438	0.3557909108
439	0.3555891577
440	0.3554332456
441	0.3551940907
442	0.3549893256
443	0.3548669429
444	0.3546262844
445	0.3545448956
446	0.3545034947
447	0.3543465406
448	0.3542054264
449	0.3540108931
450	0.3538691154
451	0.3537202861
452	0.3535794334
453	0.353381442
454	0.3533334453
455	0.3532472899
456	0.353217449
457	0.3532078264
458	0.3529850916
459	0.3528871178
460	0.3527251516
461	0.3525779679
462	0.352390164
463	0.3521496799
464	0.3520124279
465	0.3518858533
466	0.3517402601
467	0.3515772808
468	0.3514336785
469	0.3512322625
470	0.3512229667
471	0.3510480021
472	0.3508825989
473	0.3507449409
474	0.3506498024
475	0.3505386615
476	0.3505194741
477	0.3504148652
478	0.3501886373
479	0.350062452
480	0.3499851032
481	0.3498422894
482	0.3496930512
483	0.3495833205
484	0.3494581666
485	0.349314986
486	0.3492227712
487	0.3490497181
488	0.3488921091
489	0.3488520827
490	0.3486846792
491	0.3486628891
492	0.3486561153
493	0.3485314581
494	0.3484082446
495	0.348223967
496	0.3480350429
497	0.3478692979
498	0.3476794562
499	0.3474994828
500	0.3473300931
501	0.3472871076
502	0.3471430372
503	0.3469895629
504	0.3468280386
505	0.346703702
506	0.34657767
507	0.3464371693
508	0.3462677215
509	0.3461508311
510	0.3460010527
511	0.3457997646
512	0.3456810832
513	0.3454620502
514	0.3452956251
515	0.3452130978
516	0.3450801275
517	0.3449940315
518	0.3447860771
519	0.3446692763
520	0.3446543417
521	0.3445205661
522	0.3443880298
523	0.3441819091
524	0.3440194117
525	0.3438269631
526	0.343675366
527	0.3436714169
528	0.3435508447
529	0.3435456874
530	0.343419034
531	0.3433066161
532	0.3431446414
533	0.3429201657
534	0.3427623913
535	0.3425908379
536	0.3425033867
537	0.3423547228
538	0.3421540938
539	0.3420442462
540	0.3419273526
541	0.3417324799
542	0.3416110152
543	0.3414773381
544	0.3413359795
545	0.3411796339
546	0.3410711799
547	0.3410622406
548	0.34091687
549	0.3407615275
550	0.3407222162
551	0.3406444735
552	0.3405387401
553	0.3404468781
554	0.3403161744
555	0.3402307533
556	0.3401151305
557	0.3399514427
558	0.3398792492
559	0.339768587
560	0.3396584773
561	0.3395661244
562	0.3394546175
563	0.3392894604
564	0.3391481608
565	0.3391300237
566	0.3390226751
567	0.3389156482
568	0.3388364522
569	0.3387190347
570	0.3385832801
571	0.3384790401
572	0.3384696192
573	0.3382968425
574	0.3381967914
575	0.3380638236
576	0.3380572877
577	0.3379740967
578	0.3378380523
579	0.3377093465
580	0.3375570245
581	0.3374668307
582	0.3372773359
583	0.3371576754
584	0.337153129
585	0.3369523722
586	0.3368271193
587	0.3366140229
588	0.3364482308
589	0.3363006729
590	0.3362480991
591	0.3362285815
592	0.3362184555
593	0.3360717251
594	0.3359869921
595	0.3358802814
596	0.3357687266
597	0.3356016748
598	0.335498277
599	0.3353410085
600	0.3352488166
601	0.3351321569
602	0.3350144806
603	0.3348829184
604	0.3347943834
605	0.3346991371
606	0.3345811685
607	0.3343927197
608	0.3343840918
609	0.3343752529
610	0.3341943614
611	0.3340698262
612	0.3340649007
613	0.3339699502
614	0.3339642383
615	0.3338504454
616	0.3336434814
617	0.3335389673
618	0.3334219421
619	0.3332191964
620	0.3330642766
621	0.3329439126
622	0.332863722
623	0.332675684
624	0.3325545712
625	0.3324116628
626	0.3322756213
627	0.3321549878
628	0.3320637053
629	0.3319707923
630	0.3318682553
631	0.33167683
632	0.3315993666
633	0.3314436996
634	0.3313272557
635	0.3312368487
636	0.3311032888
637	0.3309834682
638	0.3308378219
639	0.3307215056
640	0.330634963
641	0.3304780548
642	0.3303592685
643	0.3303560311
644	0.3302902758
645	0.33019647
646	0.3300945829
647	0.3299637799
648	0.3298595076
649	0.3297030285
650	0.3295897793
651	0.3294777576
652	0.3294720178
653	0.3293582083
654	0.3292140403
655	0.3291309814
656	0.328932001
657	0.328748922
658	0.3286488897
659	0.3285475588
660	0.3284412928
661	0.328300327
662	0.3281672011
663	0.3280302421
664	0.3279466329
665	0.3277787327
666	0.3277082709
667	0.3275204104
668	0.3273083384
669	0.3271341143
670	0.3270352285
671	0.3269254077
672	0.3268440499
673	0.3266921079
674	0.3266147432
675	0.3264996941
676	0.3264140129
677	0.3264115683
678	0.3262727853
679	0.3262128815
680	0.3261059265
681	0.3259240636
682	0.3257735723
683	0.3257072477
684	0.3255412295
685	0.3254507792
686	0.3252619746
687	0.3251018791
688	0.3249995981
689	0.3248678304
690	0.3247981754
691	0.3246312745
692	0.3245363067
693	0.3243413012
694	0.3243385378
695	0.3241447844
696	0.3240109259
697	0.3239235859
698	0.3238430941
699	0.3236885046
700	0.3235355264
701	0.3233946446
702	0.3232644622
703	0.3231837283
704	0.3231301369
705	0.3230201623
706	0.3229512482
707	0.3228300323
708	0.3227784503
709	0.3225919887
710	0.3224018589
711	0.3223072294
712	0.3221773941
713	0.3221121065
714	0.3220368106
715	0.3218683893
716	0.3217641033
717	0.3216298056
718	0.3215219965
719	0.3213626113
720	0.3212531982
721	0.3211499795
722	0.3210597747
723	0.3209450091
724	0.3209300181
725	0.3208397497
726	0.3206450695
727	0.3205628314
728	0.320409623
729	0.3202976345
730	0.3201864205
731	0.3201813635
732	0.3200600813
733	0.319995011
734	0.3198941668
735	0.3197241224
736	0.3196081649
737	0.319485436
738	0.3193771733
739	0.3191740237
740	0.319053147
741	0.3190224339
742	0.3189357154
743	0.3187884799
744	0.3186547015
745	0.3185610566
746	0.3184584479
747	0.3183918874
748	0.3182848317
749	0.3181972898
750	0.3180966711
751	0.317963062
752	0.317859094
753	0.3176724519
754	0.3175226664
755	0.3174196706
756	0.3173336531
757	0.3172360089
758	0.3170226829
759	0.3169072926
760	0.3167528802
761	0.3166646468
762	0.3165761153
763	0.31648314
764	0.3163531794
765	0.3162973371
766	0.3161462822
767	0.3161375668
768	0.3160733046
769	0.3159342686
770	0.3158498784
771	0.3156551088
772	0.3155308025
773	0.3154265564
774	0.3154223605
775	0.3153077357
776	0.315174162
777	0.3150417307
778	0.3149019838
779	0.3147809178
780	0.3146758893
781	0.314552707
782	0.3143940965
783	0.3143019188
784	0.3141568514
785	0.3140847732
786	0.3139348491
787	0.3138458836
788	0.3136916489
789	0.3135202347
790	0.3134281866
791	0.3132624213
792	0.3132142763
793	0.3130809078
794	0.3129742571
795	0.3128998069
796	0.3128357645
797	0.3127817395
798	0.3126918825
799	0.3126354826
800	0.3125468967
801	0.3125417137
802	0.312446662
803	0.3122566095
804	0.3121134279
805	0.3119892641
806	0.3119380934
807	0.31182072
808	0.311724115
809	0.3116607794
810	0.3115142359
811	0.3114326548
812	0.3113285857
813	0.3112480509
814	0.3111780256
815	0.3110570439
816	0.3109365671
817	0.3107969641
818	0.3107117308
819	0.3106149134
820	0.3104927162
821	0.310335171
822	0.3102248938
823	0.3101032995
824	0.3100137549
825	0.3100096554
826	0.3098111524
827	0.3096700843
828	0.3095467893
829	0.3094504232
830	0.3093501221
831	0.309237996
832	0.3091334568
833	0.3090202099
834	0.3088744664
835	0.3087582552
836	0.3086494788
837	0.3085124326
838	0.3084137547
839	0.3082696102
840	0.3081826021
841	0.3080404193
842	0.3079568738
843	0.3078683818
844	0.3076811884
845	0.307569895
846	0.3075369265
847	0.3074543355
848	0.3073619876
849	0.3072633931
850	0.3071840948
851	0.3070225876
852	0.3069254757
853	0.3068559012
854	0.3067827761
855	0.3066812277
856	0.3065652872
857	0.3064724608
858	0.3064676612
859	0.3063689694
860	0.3062245176
861	0.3061527675
862	0.3060608276
863	0.3060181738
864	0.3058725106
865	0.3057719909
866	0.3057479113
867	0.3056209969
868	0.3054726114
869	0.3053783923
870	0.3052850995
871	0.3051587965
872	0.3050434744
873	0.3049062694
874	0.3047384517
875	0.3047287392
876	0.304606488
877	0.304482351
878	0.3044170171
879	0.3043299886
880	0.3042560361
881	0.3041662478
882	0.3040941756
883	0.3040239962
884	0.3038953933
885	0.3037073156
886	0.3035424803
887	0.3034306744
888	0.3033391216
889	0.3032454161
890	0.3031625516
891	0.3029300613
892	0.3029269539
893	0.3027818415
894	0.3026438235
895	0.3025781336
896	0.3025657738
897	0.3025014914
898	0.3024173321
899	0.3022904235
900	0.3022017042
901	0.3020285972
902	0.3019836122
903	0.3018503004
904	0.3017332709
905	0.3016412436
906	0.3015319056
907	0.3014464269
908	0.3013539315
909	0.3012780375
910	0.3012161824
911	0.3011389326
912	0.3009994053
913	0.3009445692
914	0.3008659533
915	0.3007844044
916	0.3006807258
917	0.3005154162
918	0.3004484352
919	0.3004442397
920	0.3003219299
921	0.3001799732
922	0.3001034539
923	0.3000217765
924	0.2999444687
925	0.2997493868
926	0.299746945
927	0.2996438161
928	0.2994824453
929	0.2993925085
930	0.2992924041
931	0.2992299295
932	0.2990956355
933	0.2989721056
934	0.2988752533
935	0.2987090982
936	0.2986426112
937	0.2985324293
938	0.2985119306
939	0.2984468847
940	0.2982699618
941	0.2981418233
942	0.2980012577
943	0.2978417673
944	0.2977734999
945	0.297690151
946	0.2976189621
947	0.2974993925
948	0.297441398
949	0.2972462198
950	0.2971579889
951	0.2970534159
952	0.2970493491
953	0.2969468927
954	0.2968570824
955	0.2967611577
956	0.2966369701
957	0.2965314276
958	0.2964519676
959	0.2962884522
960	0.2961758218
961	0.2960006848
962	0.2959371996
963	0.2957884898
964	0.2957858575
965	0.295635262
966	0.2955187168
967	0.295437418
968	0.2952936434
969	0.295218302
970	0.2950871073
971	0.2950366699
972	0.2949694409
973	0.2948715507
974	0.2947512627
975	0.2946945964
976	0.2946249097
977	0.2945609971
978	0.2944884204
979	0.2943833703
980	0.2942813024
981	0.2942188858
982	0.2940538294
983	0.2939782991
984	0.2938854029
985	0.2937314706
986	0.2936429257
987	0.2935399205
988	0.2934252177
989	0.2933176123
990	0.2932332985
991	0.2931422783
992	0.2930444487
993	0.2929569825
994	0.2928263884
995	0.2927207508
996	0.2926624469
997	0.292567318
998	0.2924477139
999	0.2923598097
